Index,SMILES,Scores
690,CC1=CC[C@@H](C(C)(C)OC(=O)c2ccc3c(O)ncnc3c2)C[C@@H]1O,-12.878876972198489
911,Cc1ccccc1NC(=O)c1ccc2c(c1)C(=O)NC2=O,-12.877916622161866
434,O=C(c1cc(CO)cc(CO)c1)N1CCC(C2(c3cccc(Cl)c3)CC2)CC1,-12.871634006500244
856,Cc1cc(Cl)c(Cl)cc1CN1C[C@H]2[C@@H](C1)N2C(=O)c1cc2ccccc2cc1O,-12.865697288513184
629,CC(C)(C)OC(=O)NCC1(C(=O)NO)CCC1,-12.85836067199707
691,COc1cc2ccccc2cc1C(=O)N1CC(C[C@H]2C[C@H]3CC[C@H]2C3)C1,-12.856903648376464
595,Cc1cccc(-c2cccc3c2CCN(c2ncnc4ccsc24)C3)c1F,-12.839441394805908
413,Cc1cnc2c(C(=O)NO)cccc2n1,-12.83372392654419
151,Cn1cc(-c2ccc(/C=C3\\Oc4cc(F)cc(F)c4C3=O)s2)cn1,-12.827855491638184
430,CN1C[C@H](C2CCN(C(=O)c3ccc4ccccc4n3)CC2)CC1=O,-12.81932315826416
146,Cc1nc(C(=O)N2CCC(CO)CC2)ccc1-c1cc2ccccc2cc1O,-12.810979557037353
864,Cc1cc2c(cc1C)[C@@H](c1nnc(-c3ccc4ccccc4c3)o1)CO2,-12.796345043182374
727,C[C@H](OC(=O)c1cccc(-c2ccoc2)c1)c1ccc(Br)cc1F,-12.784043312072754
660,Cc1ccc(-c2cccc(NC(=O)c3cc4ccccc4cc3O)n2)cc1O,-12.782347774505617
482,O=C(c1cc(Cl)c(O)cc1O)N1CCn2nnc(C(=O)N3CC[C@@H](O)C3)c2C1,-12.772063541412354
760,Cc1ccc2oc(SCC(=O)c3cc(F)c(F)cc3O)nc2c1,-12.769894123077393
641,C[C@H]1Cc2cccc(OC(=O)c3cccc4c3CC(=O)N4)c2C(=O)O1,-12.768227100372314
12,Cc1nccc2cc(C(=O)NO)[nH]c12,-12.765299797058104
705,CN(Cc1ccc(Cl)cc1O)CC1CN(C(=O)c2cc(F)cc(F)c2F)C1,-12.758818244934082
960,C[C@@H]1CCCc2cc(C(=O)NO)nn21,-12.758244228363036
548,CC(C)(C)c1oncc1C=c1sc(=CC(=O)c2ccc(Cl)cc2)nc1O,-12.75182933807373
183,COc1cc2cc(C(=O)N3Cc4cc(O)nnc4C3)[nH]c2cc1F,-12.74942092895508
830,CC(=O)c1cc(F)c(-c2ccc3ccccc3c2F)cc1O,-12.748961067199708
876,Cc1ccc2c(c1)[C@@H](C(=O)N1CCc3cccc(CO)c3C1)OCC2,-12.745845890045166
34,Cn1cc(C(=O)N2CC[C@H]3[C@@H]2CCCN3C(=O)c2ccnc3c2CCO3)nc1O,-12.741201305389405
386,O=C(c1ccc2nc(C3=CCCCO3)cn2c1)N1CCO[C@H](CO)C1,-12.730807781219482
259,Cc1ncc(COC(=O)c2ccc3ccccc3c2)s1,-12.729908084869384
173,O=C(NC1CC(NCc2cc[nH]n2)C1)c1cc2ccccc2cc1O,-12.72195749282837
186,CC1CCN(C(=O)C2CCN(C(=O)c3cnn4c(=O)cc[nH]c34)CC2)CC1,-12.721841049194335
323,Cc1nc2cccc(C(=O)NO)n2n1,-12.721446323394776
159,C[C@H]1CN(c2ccc3nc(O)oc(=O)c3c2)CC[C@@H]1O,-12.721337032318116
313,CN(CCO)C(=O)[C@@H]1C=CCN1C(=O)c1ccc(CO)o1,-12.71805830001831
486,Cc1cc2cc(C(=O)OCc3ccc4ccccc4c3)oc2cc1C,-12.717063903808594
685,O=C(COc1cccc(F)n1)Oc1cc2oc(=O)c3ccccc3c2cc1Cl,-12.716232109069823
454,Cc1ccc2nnc(C(=O)N3CCc4oc5ccccc5c4C3)n2c1,-12.710549068450929
